Produto Nomeado,Qualidade,Preço,Design
Produto Intermediário,8,5,9
Produto Intermediário,7,4,5
Produto de Luxo,7,8,5
Produto Econômico,7,9,9
Produto Inovador,8,8,5
Produto de Luxo,8,9,7
Produto Inovador,8,2,8
Produto Premium,6,6,9
Produto Inovador,6,6,5
Produto Premium,9,9,7
Produto Premium,7,2,8
Produto Premium,5,7,5
Produto Inovador,4,6,5
Produto de Luxo,4,8,5
Produto Premium,9,6,6
Produto Premium,7,9,6
Produto Intermediário,9,6,9
Produto Intermediário,9,6,9
Produto de Luxo,9,3,6
Produto de Luxo,5,4,9
Produto Inovador,7,8,9
Produto Econômico,7,2,8
Produto Inovador,8,3,9
Produto Econômico,4,3,7
Produto de Luxo,8,6,8
Produto Intermediário,7,3,7
Produto Econômico,9,7,6
Produto Premium,4,6,5
Produto Inovador,6,3,7
Produto Econômico,4,8,6
Produto Inovador,6,5,8
Produto Intermediário,8,7,8
Produto Inovador,5,9,5
Produto de Luxo,6,5,9
Produto de Luxo,9,8,7
Produto Intermediário,7,8,8
Produto Premium,5,6,6
Produto de Luxo,7,2,5
Produto de Luxo,7,7,9
Produto Inovador,5,8,5
Produto de Luxo,9,7,5
Produto Premium,9,2,5
Produto Intermediário,7,4,6
Produto de Luxo,8,6,6
Produto Premium,7,5,9
Produto Intermediário,7,2,8
Produto Inovador,4,3,8
Produto Inovador,5,7,6
Produto Intermediário,5,5,7
Produto Econômico,9,4,5
Produto Inovador,8,7,8
Produto Premium,7,7,6
Produto Inovador,5,6,7
Produto Intermediário,5,2,8
Produto Intermediário,7,7,5
Produto Premium,5,7,7
Produto Intermediário,6,9,8
Produto Premium,7,8,8
Produto Premium,7,4,6
Produto Intermediário,6,9,7
Produto Intermediário,4,9,5
Produto Inovador,7,9,6
Produto Inovador,4,3,9
Produto Econômico,6,4,7
Produto Intermediário,4,9,5
Produto Intermediário,7,2,6
Produto Econômico,4,8,9
Produto Econômico,8,9,5
Produto Intermediário,7,3,5
Produto Premium,7,7,7
Produto Econômico,8,5,9
Produto Premium,8,6,8
Produto Econômico,5,7,7
Produto Econômico,8,2,9
Produto Premium,7,4,7
Produto Premium,5,8,6
Produto Premium,9,6,7
Produto Inovador,8,3,9
Produto Econômico,9,4,8
Produto Premium,5,8,6
Produto Econômico,4,8,7
Produto Premium,4,6,9
Produto Premium,6,6,6
Produto Inovador,4,9,9
Produto de Luxo,9,3,9
Produto Intermediário,8,5,5
Produto Premium,7,4,8
Produto Intermediário,8,7,5
Produto de Luxo,5,4,9
Produto de Luxo,8,8,6
Produto Econômico,8,4,8
Produto Econômico,8,6,9
Produto Premium,9,7,7
Produto Inovador,6,2,8
Produto de Luxo,4,2,7
Produto Intermediário,4,6,7
Produto de Luxo,6,4,9
Produto Premium,4,8,6
Produto Econômico,8,5,8
Produto Inovador,5,2,5
